dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,3315.00,2366141.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,4903.00,3097593.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Aide CPSTI,960.00,797703.00,75,Nouvelle-Aquitaine,P,Enseignement
Aide CPSTI,1363.00,884652.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale
Aide CPSTI,1663.00,969129.00,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,14144.00,9976119.00,75,Nouvelle-Aquitaine,S,Autres activités de services
Aide CPSTI,6597.00,6951577.00,75,Nouvelle-Aquitaine,Z,Non connu
Aide CPSTI,707.00,638921.00,76,Occitanie,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,37.00,36598.00,76,Occitanie,B,Industries extractives
Aide CPSTI,9987.00,7719162.00,76,Occitanie,C,Industrie manufacturière
Aide CPSTI,156.00,135853.00,76,Occitanie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,247.00,185908.00,76,Occitanie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,28767.00,25397035.00,76,Occitanie,F,Construction
Aide CPSTI,26795.00,21092298.00,76,Occitanie,G,Commerce
Aide CPSTI,2955.00,2791601.00,76,Occitanie,H,Transports et entreposage
Aide CPSTI,10844.00,8549888.00,76,Occitanie,I,Hébergement et restauration
Aide CPSTI,1478.00,1049576.00,76,Occitanie,J,Information et communication
Aide CPSTI,1045.00,1002017.00,76,Occitanie,K,Activités financières et d'assurance
Aide CPSTI,4299.00,3922150.00,76,Occitanie,L,Activités immobilières
Aide CPSTI,3154.00,2195875.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,4940.00,3127684.00,76,Occitanie,N,Activités de services administratifs et de soutien
Aide CPSTI,925.00,700107.00,76,Occitanie,P,Enseignement
Aide CPSTI,1247.00,842041.00,76,Occitanie,Q,Santé humaine et action sociale
Aide CPSTI,1507.00,848572.00,76,Occitanie,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,12732.00,8419360.00,76,Occitanie,S,Autres activités de services
Aide CPSTI,6265.00,6456093.00,76,Occitanie,Z,Non connu
Aide CPSTI,281.00,284297.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,3750.00,52,Pays de la Loire,B,Industries extractives
Aide CPSTI,6589.00,5812914.00,52,Pays de la Loire,C,Industrie manufacturière
Aide CPSTI,64.00,58532.00,52,Pays de la Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,240.00,164831.00,52,Pays de la Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,14841.00,15200028.00,52,Pays de la Loire,F,Construction
Aide CPSTI,14125.00,12448135.00,52,Pays de la Loire,G,Commerce
Aide CPSTI,1787.00,1804836.00,52,Pays de la Loire,H,Transports et entreposage
Aide CPSTI,6407.00,5889756.00,52,Pays de la Loire,I,Hébergement et restauration
Aide CPSTI,915.00,725873.00,52,Pays de la Loire,J,Information et communication
Aide CPSTI,759.00,744488.00,52,Pays de la Loire,K,Activités financières et d'assurance
Aide CPSTI,2719.00,2657350.00,52,Pays de la Loire,L,Activités immobilières
Aide CPSTI,1951.00,1524172.00,52,Pays de la Loire,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,2097.00,1574765.00,52,Pays de la Loire,N,Activités de services administratifs et de soutien
Aide CPSTI,587.00,541514.00,52,Pays de la Loire,P,Enseignement
Aide CPSTI,912.00,644546.00,52,Pays de la Loire,Q,Santé humaine et action sociale
Aide CPSTI,908.00,558960.00,52,Pays de la Loire,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,7154.00,5813195.00,52,Pays de la Loire,S,Autres activités de services
Aide CPSTI,5577.00,6156436.00,52,Pays de la Loire,Z,Non connu
Aide CPSTI,349.00,309021.00,93,Provence-Alpes-Côte d'Azur,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,9.00,9500.00,93,Provence-Alpes-Côte d'Azur,B,Industries extractives
Aide CPSTI,8580.00,6498605.00,93,Provence-Alpes-Côte d'Azur,C,Industrie manufacturière
Aide CPSTI,40.00,39706.00,93,Provence-Alpes-Côte d'Azur,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,167.00,125630.00,93,Provence-Alpes-Côte d'Azur,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,25232.00,21881589.00,93,Provence-Alpes-Côte d'Azur,F,Construction
Aide CPSTI,25712.00,19729267.00,93,Provence-Alpes-Côte d'Azur,G,Commerce
Aide CPSTI,4032.00,3612666.00,93,Provence-Alpes-Côte d'Azur,H,Transports et entreposage
Aide CPSTI,9860.00,8166078.00,93,Provence-Alpes-Côte d'Azur,I,Hébergement et restauration
Aide CPSTI,1535.00,1100700.00,93,Provence-Alpes-Côte d'Azur,J,Information et communication
Aide CPSTI,927.00,916842.00,93,Provence-Alpes-Côte d'Azur,K,Activités financières et d'assurance
Aide CPSTI,4604.00,4189906.00,93,Provence-Alpes-Côte d'Azur,L,Activités immobilières
Aide CPSTI,3604.00,2498021.00,93,Provence-Alpes-Côte d'Azur,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,6255.00,4123903.00,93,Provence-Alpes-Côte d'Azur,N,Activités de services administratifs et de soutien
Aide CPSTI,812.00,617571.00,93,Provence-Alpes-Côte d'Azur,P,Enseignement
Aide CPSTI,1093.00,776384.00,93,Provence-Alpes-Côte d'Azur,Q,Santé humaine et action sociale
Aide CPSTI,1320.00,726755.00,93,Provence-Alpes-Côte d'Azur,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,11659.00,7243728.00,93,Provence-Alpes-Côte d'Azur,S,Autres activités de services
Aide CPSTI,5594.00,5744841.00,93,Provence-Alpes-Côte d'Azur,Z,Non connu
Aide CPSTI,233.00,215476.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,1970.00,11,Île-de-France,B,Industries extractives
Aide CPSTI,8345.00,6283207.00,11,Île-de-France,C,Industrie manufacturière
Aide CPSTI,9.00,7504.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,242.00,165559.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,20864.00,18614867.00,11,Île-de-France,F,Construction
Aide CPSTI,28264.00,22013220.00,11,Île-de-France,G,Commerce
Aide CPSTI,16953.00,12318577.00,11,Île-de-France,H,Transports et entreposage
Aide CPSTI,7652.00,6986569.00,11,Île-de-France,I,Hébergement et restauration
Aide CPSTI,5574.00,4104638.00,11,Île-de-France,J,Information et communication
Aide CPSTI,1913.00,1941214.00,11,Île-de-France,K,Activités financières et d'assurance
Aide CPSTI,5607.00,5419129.00,11,Île-de-France,L,Activités immobilières
Aide CPSTI,8476.00,5837786.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,6636.00,4648644.00,11,Île-de-France,N,Activités de services administratifs et de soutien
