dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,28,6,68424.00,06,Mayotte,L,Activités immobilières
Fonds de solidarité,VOLET1,656,128,1437268.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,781,121,2064942.00,06,Mayotte,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,477,73,1152960.00,06,Mayotte,P,Enseignement
Fonds de solidarité,VOLET1,333,90,684673.00,06,Mayotte,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,370,60,1064349.00,06,Mayotte,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,662,111,1490242.00,06,Mayotte,S,Autres activités de services
Fonds de solidarité,VOLET1,4701,1702,8675092.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,4,4,6000.00,28,Normandie,B,Industries extractives
Fonds de solidarité,VOLET1,8888,2951,14843894.00,28,Normandie,C,Industrie manufacturière
Fonds de solidarité,VOLET1,20,7,25598.00,28,Normandie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,402,153,538642.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,19422,8341,30122339.00,28,Normandie,F,Construction
Fonds de solidarité,VOLET1,43817,13152,95172125.00,28,Normandie,G,Commerce
Fonds de solidarité,VOLET1,8894,2089,19295925.00,28,Normandie,H,Transports et entreposage
Fonds de solidarité,VOLET1,54190,9177,262303075.00,28,Normandie,I,Hébergement et restauration
Fonds de solidarité,VOLET1,3904,1024,8240113.00,28,Normandie,J,Information et communication
Fonds de solidarité,VOLET1,1993,610,3981878.00,28,Normandie,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,6474,1938,12663208.00,28,Normandie,L,Activités immobilières
Fonds de solidarité,VOLET1,20287,5752,50147203.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,9583,2548,23152469.00,28,Normandie,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,11576,2655,19069988.00,28,Normandie,P,Enseignement
Fonds de solidarité,VOLET1,12335,5401,16170746.00,28,Normandie,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,19330,3577,49604579.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,30859,8634,54584510.00,28,Normandie,S,Autres activités de services
Fonds de solidarité,VOLET1,21729,8015,55338115.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,93,31,140080.00,75,Nouvelle-Aquitaine,B,Industries extractives
Fonds de solidarité,VOLET1,27101,8631,44046405.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Fonds de solidarité,VOLET1,98,32,153715.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1372,436,2104741.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,55791,23700,85397048.00,75,Nouvelle-Aquitaine,F,Construction
Fonds de solidarité,VOLET1,106957,31398,233573293.00,75,Nouvelle-Aquitaine,G,Commerce
Fonds de solidarité,VOLET1,22995,4961,49533327.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Fonds de solidarité,VOLET1,117226,19816,553073607.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Fonds de solidarité,VOLET1,10863,2879,22935745.00,75,Nouvelle-Aquitaine,J,Information et communication
Fonds de solidarité,VOLET1,4699,1491,8587324.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,18221,5710,33431623.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Fonds de solidarité,VOLET1,57669,16682,133884659.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,28901,7939,64453818.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,20,7,71609.00,75,Nouvelle-Aquitaine,O,Administration publique
